date,A2C Agent 1,A2C Agent 2,A2C Agent 3,SAC Agent 1,SAC Agent 2,SAC Agent 3,PPO Agent 1,PPO Agent 2,PPO Agent 3,TD3 Agent 1,TD3 Agent 2,TD3 Agent 3,mvo,djia
2025-05-13 13:30:00+00:00,986881.122029892,1042448.8365883931,1854800.6743247833,985714.4142355652,1048245.3534567809,1623936.8862021726,987080.6366826248,1055980.9464470742,1810930.4612366296,985714.4142355652,1048245.3534567809,1623936.8862021726,896206.7204333508,965324.3575546836
2025-05-13 14:30:00+00:00,991577.918981186,1048055.6650298961,1864116.5752426595,990405.6761374207,1053715.9496536239,1632589.333007254,991778.6636449051,1061331.7102826915,1820668.5459066068,990405.6761374207,1053715.9496536239,1632589.333007254,900472.2629144709,964922.780461647
2025-05-13 15:30:00+00:00,996389.2662712251,1053754.5775649673,1873328.0705725385,995211.3533835144,1058970.4625924674,1641530.4706467232,996591.2709447098,1067396.3492598215,1830098.6924350965,995211.3533835144,1058970.4625924674,1641530.4706467232,904841.8378545649,963744.535613057
2025-05-13 16:30:00+00:00,999253.1412712251,1057045.8716785125,1879215.5983296481,998071.8533835144,1062254.1195365202,1647035.5165287217,999455.8959447098,1071393.2450428403,1835413.5158382885,998071.8533835144,1062254.1195365202,1647035.5165287217,907442.7551605074,965223.8518065484
2025-05-13 17:30:00+00:00,996274.71593248,1054162.696875367,1873936.9644110727,995096.9380392762,1059130.0147316572,1642967.0785166675,996476.6906071854,1069241.6539924897,1830540.4167899133,995096.9380392762,1059130.0147316572,1642967.0785166675,904737.8053955911,963919.1498587079
2025-05-13 18:30:00+00:00,994518.122029892,1052632.5913780595,1871574.6753872177,993342.4142355652,1057684.476562604,1640191.8423691948,994719.6366826248,1068382.9659693313,1827368.9627102858,993342.4142355652,1057684.476562604,1640191.8423691948,903142.4999158639,964394.0328301536
2025-05-13 19:30:00+00:00,991654.247029892,1048975.3365797035,1865439.2133478771,990481.9142355652,1054171.0895850514,1635446.356601444,991855.0116826248,1064713.6707496566,1821736.5887512749,990481.9142355652,1054171.0895850514,1635446.356601444,900541.5826099215,961876.7517719378
2025-05-14 13:30:00+00:00,1013190.6429649506,1072930.1827107014,1906211.5125622067,1011992.9301047059,1078260.8045428353,1671990.2947200083,1013397.0476323318,1088071.7279861595,1862050.3936900564,1011992.9301047059,1078260.8045428353,1671990.2947200083,920100.5315497746,963825.3326031283
2025-05-14 14:30:00+00:00,1024607.9206749116,1086009.7047613102,1927893.6591497597,1023396.7528586121,1090414.7778502277,1691602.5778570406,1024817.3153325272,1101487.7855370417,1883382.6927120204,1023396.7528586121,1090414.7778502277,1691602.5778570406,930469.4880100209,962289.7438922693
2025-05-14 15:30:00+00:00,1030832.0943199311,1092832.7371580554,1940429.4328844273,1029613.591481659,1097065.6476429023,1702281.8695474784,1031043.1189824295,1108859.5698493295,1895919.9323224046,1029613.591481659,1097065.6476429023,1702281.8695474784,936122.1652213245,960876.7775449291
